vibration_1,vibration_2,moisture_1,moisture_2
2.41,2.09,11.97,11.36
2.83,2.48,12.55,12.39
2.94,2.89,12.22,12.9
2.65,2.88,11.33,12.87
2.35,2.7,11.79,11.71
2.09,2.18,12.27,11.69
2.23,2.55,11.32,12.64
2.42,2.71,12.27,11.87
2.65,2.34,12.09,11.25
2.24,2.04,12.4,12.57
2.52,2.58,11.2,11.22
2.21,2.66,11.97,11.42
2.88,2.88,12.46,11.09
2.71,2.9,11.15,11.17
2.31,2.6,11.84,12.9
2.85,2.39,12.47,11.85
2.39,2.22,12.07,11.68
2.9,2.14,12.73,12.05
2.53,2.02,12.99,12.62
2.31,2.71,11.47,11.07
2.85,2.48,11.8,12.36
2.66,2.56,11.26,12.0
2.79,2.65,12.86,11.75
2.47,2.66,11.53,12.13
2.26,2.35,12.2,11.41
2.28,2.06,11.26,12.4
2.01,2.03,11.69,11.03
2.24,2.99,12.65,11.85
2.73,2.25,11.02,11.74
2.72,2.46,11.56,11.79
2.55,2.14,12.18,12.55
2.43,2.38,11.9,12.2
8.94,8.43,21.84,22.97
2.95,2.59,12.71,12.51
2.77,2.44,12.04,12.45
2.37,2.47,12.89,11.51
2.58,2.81,11.83,12.78
2.73,2.9,12.62,11.75
2.07,2.5,12.11,12.93
2.55,2.84,12.04,12.88
2.12,2.32,12.48,11.37
2.14,2.61,11.89,11.19
2.11,2.78,12.27,12.03
2.42,2.37,12.1,12.69
2.5,2.31,11.63,11.11
2.04,2.58,11.5,11.25
2.75,2.89,11.62,12.09
2.32,2.81,11.42,12.11
2.05,2.32,11.98,11.52
2.81,2.49,12.56,12.14
8.07,8.79,22.46,21.29
2.19,2.81,11.2,12.5
2.15,2.89,12.41,12.68
2.7,2.61,12.46,12.09
2.97,2.97,11.04,12.7
2.04,2.44,12.61,11.83
2.03,2.57,11.55,12.47
8.39,8.8,21.35,21.38
2.17,2.0,11.78,12.52
2.26,2.79,11.79,12.23
2.36,2.3,11.16,12.39
2.86,2.84,11.91,12.28
2.07,2.24,12.48,12.37
2.6,2.49,12.87,12.22
2.98,2.75,11.68,11.81
2.2,2.86,11.5,12.21
2.95,2.77,12.07,11.88
2.8,2.59,11.68,12.74
2.83,2.26,11.61,11.23
2.35,2.87,11.44,12.27
2.8,2.37,12.66,12.39
2.42,2.89,12.68,11.02
2.86,2.88,12.44,12.34
2.03,2.61,12.41,11.94
2.63,2.98,11.65,11.5
2.58,2.1,12.41,12.43
2.5,2.12,11.25,12.37
2.61,2.74,11.83,12.78
2.57,2.12,12.26,11.54
2.61,2.53,12.36,11.44
2.81,2.45,12.5,12.69
